time=Thu Jun 29 23:59:42 2023, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Fri Jun 30 00:22:09 2023, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Sat Nov 25 02:29:15 2023, file=physics_2nd_A4_Normal, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a4
time=Sat Nov 25 02:57:12 2023, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 02:31:49 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 02:48:18 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 04:12:37 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 04:24:50 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 04:58:07 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 05:07:09 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 05:59:49 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 06:26:37 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 06:37:30 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 06:46:45 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 07:32:07 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 07:47:50 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 08:19:57 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 08:25:34 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 08:32:50 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 08:40:02 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
time=Wed Jan  3 09:09:31 2024, file=physics_2nd_A5_Print, option=-V 7 -vv, fontmap=-f uptex-ipa.map -f dlbase14.map , papersize=-p a5
